residual_growth_fraction	N_fraction_of_qref	NH4_capacity	condition_max_growth_h-1	max_PHB_flux_mmol_lump_gDW_h	PHB_mass_rate_g_gDW_h
0.2	0.8999999999999999	2.7127473432389997	0.25859883775098397	0.729451156906823	0.2511938003924336
0.2	0.925	2.78810143610675	0.2657821387996215	0.7254081334875645	0.24980154484777772
0.2	0.95	2.8634555289745	0.2729654398482609	0.7213651100683149	0.24840928930312495
0.2	0.975	2.93880962184225	0.2801487408968986	0.717322086649055	0.24701703375846856
0.2	1.0	3.01416371471	0.28733204194553774	0.7132790632297964	0.2456247782138127
0.2	1.025	3.08951780757775	0.2902343858032061	0.7116455184141522	0.2450622507210975
0.2	1.0499999999999998	3.1648719004454993	0.2902343858032091	0.7116455184141444	0.24506225072109475
0.2	1.075	3.24022599331325	0.2902343858032061	0.7116455184141522	0.2450622507210975
0.2	1.1	3.3155800861810003	0.2902343858032091	0.7116455184141444	0.24506225072109475
0.2	1.125	3.39093417904875	0.2902343858032061	0.7116455184141522	0.2450622507210975
0.2	1.15	3.4662882719164996	0.2902343858032091	0.7116455184141444	0.24506225072109475
0.2	1.1749999999999998	3.5416423647842494	0.2902343858032061	0.7116455184141522	0.2450622507210975
0.2	1.2	3.6169964576519997	0.2902343858032091	0.7116455184141444	0.24506225072109475
