residual_growth_fraction	O2_fraction_of_qref	O2_capacity	condition_max_growth_h-1	max_PHB_flux_mmol_lump_gDW_h	max_PHB_mass_rate_g_gDW_h
0.05	0.7250000000000001	3.4685411559122508	0.24663357738930064	0.8402964102921607	0.2893644718482085
0.05	0.75	3.5881460233575	0.25033343780348916	0.8397758062480899	0.28918519663959225
0.05	0.775	3.70775089080275	0.25403329821767423	0.8392552022040191	0.289005921430976
0.05	0.8	3.8273557582480002	0.2577331586318599	0.8387345981599729	0.28882664622236826
0.05	0.8250000000000001	3.9469606256932503	0.26143301904604643	0.8382139941158939	0.28864737101374927
0.05	0.8500000000000001	4.0665654931385005	0.26513287946023095	0.8376933900718667	0.28846809580514804
0.05	0.875	4.18617036058375	0.26883273987441747	0.8371727860277962	0.28828882059653194
0.05	0.9	4.305775228029001	0.27253260028860193	0.8366521819837339	0.2881095453879186
0.05	0.925	4.42538009547425	0.27623246070278873	0.8361315779396742	0.2879302701793062
0.05	0.95	4.5449849629195	0.2799323211169759	0.8356109738955957	0.2877509949706873
0.05	0.975	4.664589830364751	0.2836321815311604	0.8350903698515528	0.28757171976208074
0.05	1.0	4.78419469781	0.287332041945346	0.8345697658074933	0.2873924445534684
0.05	1.025	4.90379956525525	0.290234385803208	0.834161379603536	0.28725181268027367
0.05	1.05	5.0234044327005005	0.2902343858032079	0.8341613796035378	0.2872518126802743
0.05	1.075	5.14300930014575	0.290234385803209	0.8341613796035369	0.287251812680274
0.05	1.1	5.262614167591001	0.29023438580320915	0.8341613796035372	0.2872518126802741
0.05	1.125	5.38221903503625	0.290234385803209	0.8341613796035369	0.287251812680274
0.05	1.15	5.5018239024815	0.29023438580320915	0.8341613796035372	0.2872518126802741
0.05	1.175	5.621428769926751	0.290234385803209	0.8341613796035369	0.287251812680274
0.05	1.2000000000000002	5.741033637372001	0.29023438580320915	0.8341613796035372	0.2872518126802741
0.05	1.225	5.860638504817251	0.290234385803209	0.8341613796035369	0.287251812680274
0.05	1.25	5.980243372262501	0.29023438580320915	0.8341613796035372	0.2872518126802741
0.05	1.275	6.09984823970775	0.290234385803209	0.8341613796035369	0.287251812680274
0.05	1.3	6.219453107153001	0.29023438580320915	0.8341613796035372	0.2872518126802741
0.05	1.3250000000000002	6.339057974598251	0.290234385803209	0.8341613796035369	0.287251812680274
0.05	1.35	6.458662842043501	0.29023438580320915	0.8341613796035372	0.2872518126802741
0.05	1.375	6.578267709488751	0.290234385803209	0.8341613796035369	0.287251812680274
0.05	1.4	6.697872576934	0.29023438580320915	0.8341613796035372	0.2872518126802741
0.05	1.425	6.817477444379251	0.290234385803209	0.8341613796035369	0.287251812680274
0.05	1.4500000000000002	6.9370823118245015	0.29023438580320915	0.8341613796035372	0.2872518126802741
0.05	1.475	7.056687179269751	0.290234385803209	0.8341613796035369	0.287251812680274
0.05	1.5	7.176292046715	0.29023438580320915	0.8341613796035372	0.2872518126802741
0.1	0.0	0.0	2.0494354748120813e-14		
0.1	0.025	0.11960486744525001	0.10763452962169064	0.7413938970027885	0.25530640237188024
0.1	0.05	0.23920973489050001	0.11264448807556542	0.7514661706437973	0.25877489052289804
0.1	0.075	0.35881460233575	0.11765444653656446	0.7615384442821462	0.2622433786729999
0.1	0.1	0.47841946978100003	0.12266440499756347	0.7716107179204825	0.26571186682309733
0.1	0.125	0.59802433722625	0.12767436345856262	0.7816829915588085	0.2691803549731913
0.1	0.15	0.7176292046715	0.13268432191956211	0.7917552651971513	0.272648843123291
0.1	0.175	0.83723407211675	0.13769428038056106	0.8018275388354807	0.27611733127338617
0.1	0.2	0.9568389395620001	0.1427042388415606	0.8118998124738097	0.2795858194234811
0.1	0.225	1.0764438070072502	0.14771419730255947	0.8219720861121395	0.28305430757357636
0.1	0.25	1.1960486744525	0.1527241557635584	0.8319955738206303	0.28650599580087227
