GAM	O2_fraction_of_baseline_qref	O2_capacity_mmol_gDW_h	mu_max_h_1	PHB_flux_mmol_lump_gDW_h	PHB_mass_rate_g_gDW_h
60.0	0.35	1.6744681442303824	0.16247066625831363	0.8284001645023903	0.2852678806480431
60.0	0.4	1.9136778791204372	0.17189359392898276	0.8256974804463397	0.28433718436650157
60.0	0.45	2.152887614010492	0.18131652159965506	0.8229947963893519	0.2834064880846372
60.0	0.5	2.3920973489005464	0.19073944927032413	0.8202921123328093	0.2824757918029262
60.0	0.55	2.631307083790601	0.2001623769409933	0.8175894282758265	0.2815450955210636
60.0	0.6	2.8705168186806556	0.20958530461165964	0.8148867442197314	0.2806143992395067
60.0	0.65	3.1097265535707104	0.21900823228233257	0.8121840601630151	0.27968370295773587
60.0	0.7	3.3489362884607647	0.22843115995300162	0.8094813761063813	0.27875300667599345
60.0	0.75	3.5881460233508196	0.23684310069580922	0.8070686633143245	0.2779221648989208
60.0	0.8	3.8273557582408744	0.24384405446631455	0.8050606497968678	0.2772306853640494
60.0	0.85	4.066565493130929	0.25084500823681816	0.803052636280008	0.27653920582938357
60.0	0.9	4.305775228020984	0.2578459620073184	0.8010446227616996	0.2758477262942189
60.0	0.95	4.5449849629110375	0.2648469157778204	0.7990366092448309	0.27515624675954997
60.0	1.0	4.784194697801093	0.27184786954832235	0.7970285957273541	0.27446476722467167
60.0	1.05	5.023404432691148	0.2788488233188226	0.795020582210068	0.27377328768985904
60.0	1.1	5.262614167581202	0.2831321452338829	0.7937920398440342	0.27335022684069166
60.0	1.15	5.501823902471256	0.2831321452338829	0.7937920398444055	0.2733502268408195
60.0	1.2	5.741033637361311	0.2831321452338829	0.7937920398440967	0.27335022684071314
60.0	1.25	5.9802433722513655	0.2831321452338768	0.7937920398442617	0.27335022684077
60.0	1.3	6.219453107141421	0.2831321452338768	0.7937920398441418	0.2733502268407287
60.0	1.35	6.458662842031476	0.2831321452338768	0.7937920398441372	0.2733502268407271
60.0	1.4	6.6978725769215295	0.2831321452338768	0.7937920398441372	0.2733502268407271
60.0	1.45	6.937082311811584	0.2831321452338768	0.7937920398442617	0.27335022684077
