state	O2_fraction	O2_capacity_mmol_gDW_h	condition_mu_max_h_1	residual_growth_requirement_h_1	optimal_PHB_flux	optimal_PHB_mass_rate	reaction_id	reaction_name	flux	reported_flux
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_EX_glcn_e	EX_glcn_e	-0.0	-0.0
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_PFK	Phosphofructokinase	0.4261987737912951	0.4261987737912951
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_GAPD	Glyceraldehyde-3-phosphate dehydrogenase	3.151480789801761	3.151480789801761
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_ENO	Enolase	3.1211289656158723	3.1211289656158723
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_PYK	Pyruvate kinase	0.0	0.0
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_PDH	Pyruvate dehydrogenase	2.9091305090979973	2.9091305090979973
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_CS	Citrate synthase	0.034126634823623166	0.034126634823623166
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_ACACT1r	Acetyl-CoA C-acetyltransferase	3.1765581264605975	3.1765581264605975
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_AACOAR_syn	Acetoacetyl CoA reductase	-0.0	-0.0
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_HBCE	3 hydroxyacyl CoA dehydratase  3 hydroxybutanoyl CoA	3.1765581264605975	3.1765581264605975
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_HACD1	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	3.1765581264605975	3.1765581264605975
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_PHB_SYN_HB	Poly(3-hydroxybutyrate) synthase	0.7941395316151494	0.7941395316151494
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_DM_phb_c	PHB intracellular accumulation demand	0.7941395316151494	0.7941395316151494
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	5.284843904096301	5.284843904096301
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_CYO1_KT	Ubiquinol   cytochrome c reductase	2.6512480727944174	2.6512480727944174
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_CYTCAA3pp	Cytochrome c oxidase aa3  2 protons1 electron    periplasm	2.6512480727944174	2.6512480727944174
